Date,Location,Aboard,Fatalities
1942-08-13,"Algiers, Algeria",,4
1942-08-21,,4,4
1942-08-22,Trinidad,13,13
1942-08-23,"Invergordon, England",14,13
1942-08-25,"Near Dunbeath, Scotland",14,13
1942-09-27,"Ameur el Ain, Algeria",25,25
1942-10-01,"Kunming, China",,
1942-10-01,"Near Coamo, Puerto Rico",22,22
1942-10-03,"Botwood, Newfoundland",37,11
1942-10-22,,17,17
1942-10-23,"Palm Springs, California",13,12
1942-10-30,Norway,10,10
1942-12-15,"Fairfield, Utah",19,17
1942-12-19,"Wien, Vienna",16,2
1943-01-09,"River Tagus, Lisbon, Portugal",13,13
1943-01-15,"Near Paramarino, Dutch Guyana",35,35
1943-01-18,"Off the Brazilian coast,  AtlantiOcean",26,26
1943-01-21,"Ukiah, California",19,19
1943-01-22,"Near Chaparra, Peru",15,14
1943-02-09,"Near Gander, Newfoundland",21,19
1943-02-18,"Seattle, Washington",10,10
1943-02-22,"Lisbon, Portugal",39,25
1943-03-11,"Luishui, China",3,3
1943-03-13,"Himalaya, China",3,3
1943-03-27,"Archerfield Aerodrome, Queensland, Australia",24,24
1943-04-22,"Off Port Moresby, New Guinea",13,13
1943-06-01,Off the coast of France,17,17
1943-06-07,"Red Springs, North Carolina",20,20
1943-06-14,"Near Mackay, OLD, Australia",41,40
1943-06-16,"Khartoum, Sudan",17,17
1943-06-30,"Khartoum, Sudan",16,16
1943-07-04,Gibraltar,13,12
