Date,Close/Last,Volume,Open,High,Low
2018-07-18,105,29055780,$105.94 ,$106.05 ,$104.72 
2018-07-19,104,38193270,$104.93 ,$105.31 ,$103.89 
2018-07-20,106,55999890,$108.08 ,$108.20 ,$106.08 
2018-07-23,108,29226800,$106.30 ,$108.14 ,$106.13 
2018-07-24,108,26308190,$108.57 ,$108.82 ,$107.26 
2018-07-25,111,30586770,$107.96 ,$111.15 ,$107.60 
2018-07-26,110,31332820,$110.74 ,$111 ,$109.50 
2018-07-27,108,36916780,$110.18 ,$110.18 ,$106.14 
2018-07-30,105,34495720,$107.19 ,$107.53 ,$104.76 
2018-07-31,106,27181070,$106.49 ,$106.72 ,$105.38 
2018-08-01,106,23617980,$106.03 ,$106.45 ,$105.42 
2018-08-02,108,26080740,$105.40 ,$108.09 ,$104.84 
2018-08-03,108,18629310,$107.80 ,$108.05 ,$106.82 
2018-08-06,108,20234680,$108.12 ,$108.42 ,$107.56 
2018-08-07,109,16070070,$108.56 ,$109.10 ,$108.17 
2018-08-08,109,15461420,$109.33 ,$109.75 ,$108.76 
2018-08-09,110,13634510,$109.71 ,$110.16 ,$109.60 
2018-08-10,109,18171350,$109.42 ,$109.69 ,$108.38 
2018-08-13,108,18470690,$109.24 ,$109.58 ,$108.10 
2018-08-14,110,16777990,$108.56 ,$109.75 ,$108.04 
2018-08-15,108,29947600,$108.49 ,$108.99 ,$106.82 
2018-08-16,108,20687500,$108.30 ,$108.86 ,$107.30 
2018-08-17,108,18051970,$107.36 ,$107.90 ,$106.69 
2018-08-20,107,17327110,$107.51 ,$107.90 ,$106.48 
2018-08-21,106,22825830,$106.92 ,$107.35 ,$105.85 
2018-08-22,107,17878840,$105.85 ,$107.34 ,$105.78 
2018-08-23,108,17996860,$107.15 ,$108.18 ,$106.87 
2018-08-24,108,17188010,$107.67 ,$108.56 ,$107.56 
2018-08-27,110,19439380,$109.27 ,$109.64 ,$108.51 
2018-08-28,110,19144860,$109.94 ,$110.50 ,$109.79 
2018-08-29,112,20747500,$110.45 ,$112.03 ,$110.27 
2018-08-30,112,22759640,$111.67 ,$112.61 ,$111.44 
2018-08-31,112,23217310,$111.69 ,$112.78 ,$111.52 
2018-09-04,112,22558040,$110.85 ,$111.96 ,$110.22 
2018-09-05,108,32838650,$111.01 ,$111.42 ,$108.10 
2018-09-06,109,23226430,$108.25 ,$108.99 ,$107.51 
2018-09-07,108,22273530,$108.23 ,$108.72 ,$107.23 
2018-09-10,109,19887280,$108.84 ,$109.64 ,$108.36 
2018-09-11,111,24081240,$108.90 ,$111.59 ,$108.89 
2018-09-12,112,18855340,$111.43 ,$111.85 ,$110.51 
2018-09-13,113,25107230,$112.12 ,$113.73 ,$112.12 
2018-09-14,113,18261950,$113.36 ,$113.73 ,$112.44 
2018-09-17,112,20332830,$113.69 ,$113.70 ,$111.86 
2018-09-18,113,22114560,$112.19 ,$113.70 ,$111.72 
2018-09-19,112,21663020,$113.05 ,$113.32 ,$111.04 
2018-09-20,114,23667500,$112.28 ,$113.80 ,$111.93 
2018-09-21,114,70363000,$114 ,$115.29 ,$113.51 
2018-09-24,115,25273510,$113.03 ,$114.90 ,$112.22 
2018-09-25,114,20782110,$114.80 ,$115.10 ,$113.75 
2018-09-26,114,19322530,$114.47 ,$115.06 ,$113.74 
2018-09-27,114,19053590,$114.78 ,$114.91 ,$114.20 
2018-09-28,114,20525950,$114.19 ,$114.57 ,$113.68 
2018-10-01,116,18610500,$114.75 ,$115.68 ,$114.73 
2018-10-02,115,20180030,$115.30 ,$115.84 ,$114.44 
2018-10-03,115,16130010,$115.42 ,$116.18 ,$114.93 
2018-10-04,113,34475710,$114.61 ,$114.76 ,$111.63 
2018-10-05,112,29062670,$112.63 ,$113.17 ,$110.64 
2018-10-08,111,29477750,$111.66 ,$112.03 ,$109.34 
2018-10-09,112,26187200,$111.14 ,$113.08 ,$110.80 
2018-10-10,106,60560740,$111.24 ,$111.50 ,$105.79 
2018-10-11,106,63629560,$105.35 ,$108.93 ,$104.20 
2018-10-12,110,46718940,$109.01 ,$111.24 ,$107.12 
2018-10-15,108,32001580,$108.91 ,$109.48 ,$106.95 
2018-10-16,111,31154210,$109.54 ,$111.41 ,$108.95 
2018-10-17,111,25873980,$111.68 ,$111.81 ,$109.55 
2018-10-18,109,31794350,$110.10 ,$110.53 ,$107.83 
2018-10-19,109,32751070,$108.93 ,$110.86 ,$108.21 
2018-10-22,110,26484510,$109.32 ,$110.54 ,$108.24 
2018-10-23,108,43531680,$107.77 ,$108.97 ,$105.11 
2018-10-24,102,63236450,$108.41 ,$108.49 ,$101.59 
2018-10-25,108,61550620,$106.55 ,$109.27 ,$106.15 
2018-10-26,107,55480820,$105.69 ,$108.75 ,$104.76 
2018-10-29,104,55101300,$108.11 ,$108.70 ,$101.63 
2018-10-30,104,65273360,$103.66 ,$104.38 ,$100.11 
2018-10-31,107,51042220,$105.44 ,$108.14 ,$105.39 
2018-11-01,106,33243300,$107.05 ,$107.32 ,$105.53 
2018-11-02,106,37591700,$106.48 ,$107.32 ,$104.98 
2018-11-05,108,27908600,$106.37 ,$107.74 ,$105.90 
2018-11-06,108,24217640,$107.38 ,$108.84 ,$106.28 
2018-11-07,112,37864220,$109.44 ,$112.24 ,$109.40 
2018-11-08,112,25479410,$111.80 ,$112.21 ,$110.91 
2018-11-09,110,32011930,$110.85 ,$111.45 ,$108.76 
2018-11-12,107,33595910,$109.42 ,$109.96 ,$106.10 
2018-11-13,107,35360680,$107.55 ,$108.74 ,$106.64 
